8.6436 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.4267 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8da46c11f0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8da46c1190>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f8d815fdb50>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f8d81799910>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.4269 	EXP 	window1: mouseVisible = True
9.4269 	EXP 	window1: backgroundImage = ''
9.4269 	EXP 	window1: backgroundFit = 'none'
9.4298 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.4298 	EXP 	window1: recordFrameIntervals = False
9.5924 	EXP 	window1: recordFrameIntervals = True
9.7757 	EXP 	Screen (0) actual frame rate measured at 60.17Hz
9.7757 	EXP 	window1: recordFrameIntervals = False
9.7766 	EXP 	window1: mouseVisible = False
12.4422 	EXP 	Framing_HieuLe: status = STARTED
12.4429 	EXP 	window1: mouseVisible = True
12.4933 	EXP 	Created text_3 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_3', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.4935 	EXP 	window1: mouseVisible = True
12.5129 	EXP 	Created text_4 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_4', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.5132 	EXP 	window1: mouseVisible = True
12.5134 	EXP 	window1: mouseVisible = True
12.5141 	EXP 	window1: mouseVisible = True
12.5147 	EXP 	window1: mouseVisible = True
12.5240 	EXP 	window1: mouseVisible = True
12.5242 	EXP 	window1: mouseVisible = True
12.5248 	EXP 	window1: mouseVisible = True
12.5254 	EXP 	window1: mouseVisible = True
12.5421 	EXP 	window1: mouseVisible = True
12.5424 	EXP 	window1: mouseVisible = True
12.5426 	EXP 	window1: mouseVisible = True
12.5432 	EXP 	window1: mouseVisible = True
12.5438 	EXP 	window1: mouseVisible = True
12.5507 	EXP 	window1: mouseVisible = True
12.5509 	EXP 	window1: mouseVisible = True
12.5515 	EXP 	window1: mouseVisible = True
12.5521 	EXP 	window1: mouseVisible = True
12.5585 	EXP 	window1: mouseVisible = True
12.5586 	EXP 	window1: mouseVisible = True
12.5603 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0.  , 0.25]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.5605 	EXP 	window1: mouseVisible = True
12.5617 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.04, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0.  , 0.02]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.5618 	EXP 	window1: mouseVisible = True
